Camptothecin	5-Fluorouracil	Afatinib	Taselisib	PD0325901	Linsitinib	Sapitinib	Luminespib	Alpelisib	SCH772984
687561	NA	NA	1.723549	NA	1.961409	NA	NA	NA	NA	NA
687562	-4.584382	3.266237	NA	1.25011	0.032518	3.138012	3.241266	-3.678548	2.804447	2.119173
687563	-3.1084	2.420816	1.694648	2.366075	1.061565	4.657278	4.069242	-2.793068	4.683801	2.097775
687568	-3.149507	6.023977	3.187798	2.730342	NA	2.98963	4.45183	-2.374418	4.857355	5.25421
687586	-2.376573	4.802335	2.715805	1.515617	1.26336	4.740467	4.062874	-3.703455	3.730826	4.178734
687588	-3.166476	6.770135	3.072549	3.144479	1.420202	5.284523	5.990573	-3.353222	5.915298	4.147571
687590	-2.951987	5.613773	3.954576	1.889007	0.389404	5.467933	3.256419	-2.830355	3.630667	2.76424
687600	0.782097	6.442514	2.084233	-0.00274	2.251665	3.883286	5.617066	-3.363269	2.849605	4.54689
687777	-1.993318	7.387241	-0.567689	1.720375	2.666803	4.293972	0.43263	0.424303	3.300282	4.866464
687780	-1.403354	5.272167	2.289731	1.289231	1.556906	3.889596	4.751963	-2.237259	3.553913	2.346792
687787	-0.171871	5.296929	2.602383	3.76702	1.530413	3.794715	5.539881	-1.09785	5.146367	2.373275
687798	-4.176086	2.751425	-0.935354	-0.187163	0.185408	1.995651	-0.87014	2.74313	2.028626	1.744786
687799	-2.817891	3.675815	-1.650567	-1.718844	0.158011	2.973928	-1.127324	-1.793041	0.218321	0.383984
687800	0.736513	6.95488	2.087571	3.233594	4.647783	4.548013	2.29765	-2.372754	5.7783	6.055741
687802	0.889164	7.199333	0.716637	5.744185	2.233316	4.22177	2.586163	0.252762	6.319589	3.202688
687807	NA	NA	2.479467	NA	3.941915	NA	NA	NA	NA	NA
687812	0.192718	6.862513	NA	2.307281	1.198853	4.806342	3.579537	-2.518153	5.522942	3.539114
687815	-3.96132	4.350165	-2.787778	1.28534	2.038361	3.311807	-0.104065	-2.383117	2.35654	4.365276
687816	-2.871827	4.875581	2.831975	1.674893	NA	2.308077	3.938598	-1.972807	2.722282	2.858176
687819	0.385774	7.378365	2.680708	3.41596	1.99021	3.4117	4.145899	2.676543	3.353624	5.407542
